original_value,search_query,found
Amazing Art Expo Nashville 2026,Amazing Art Expo Nashville 2026,FALSE
Middle Georgia Con 2026,Middle Georgia Con 2026,FALSE
Peterborough ComiCon 2026,Peterborough ComiCon 2026,FALSE
FT-Lauderdale Con 2026,FT-Lauderdale Con 2026,FALSE
Amazing Art Expo Louisville 2026,Amazing Art Expo Louisville 2026,FALSE
Fan Expo New Orleans 2026,Fan Expo New Orleans 2026,FALSE
Central Carolina Comic Con 2026,Central Carolina Comic Con 2026,FALSE
Hawaii Pop Con 2026,Hawaii Pop Con 2026,FALSE
Kansas City Celebrity Comic Con 2026,Kansas City Celebrity Comic Con 2026,FALSE
Albuquerque Comic Con 2026,Albuquerque Comic Con 2026,FALSE
